date,currency,base_rate,cash_buy,cash_sell,remit_send,remit_receive,usd_conv_rate
20180203,미국 USD,1086.50,1105.51,1067.49,1097.10,1075.90,1.000
20180203,유럽연합 EUR,1357.04,1384.04,1330.04,1370.61,1343.47,1.249
20180203,일본 JPY,988.85,1006.15,971.55,998.54,979.16,0.910
20180203,중국 CNY,172.69,181.32,164.06,174.41,170.97,0.159
20180203,홍콩 HKD,138.93,141.66,136.20,140.31,137.55,0.128
20180203,대만 TWD,37.10,40.43,34.51,0.00,0.00,0.034
20180203,영국 GBP,1544.73,1575.16,1514.30,1560.17,1529.29,1.422
20180203,오만 OMR,2822.00,2991.32,2652.68,0.00,0.00,2.597
20180203,캐나다 CAD,882.04,899.41,864.67,890.86,873.22,0.812
20180203,스위스 CHF,1169.79,1192.83,1146.75,1181.48,1158.10,1.077
20180203,스웨덴 SEK,138.22,141.60,134.84,139.60,136.84,0.127
20180203,호주 AUD,867.84,884.93,850.75,876.51,859.17,0.799
20180203,뉴질랜드 NZD,799.56,815.31,783.81,807.55,791.57,0.736
20180203,체코 CZK,53.84,57.60,49.00,54.43,53.25,0.050
20180203,칠레 CLP,1.82,1.96,1.68,0.00,0.00,0.002
20180203,터키 TRY,289.62,312.78,266.46,292.80,286.44,0.267
20180203,몽골 MNT,0.45,0.53,0.37,0.00,0.00,0.000
20180203,이스라엘 ILS,316.51,329.17,291.19,0.00,0.00,0.291
20180203,덴마크 DKK,182.33,186.79,177.87,184.15,180.51,0.168
20180203,노르웨이 NOK,141.88,145.35,138.41,143.29,140.47,0.131
20180203,사우디아라비아 SAR,289.72,301.30,269.73,292.61,286.83,0.267
20180203,쿠웨이트 KWD,3626.14,3771.18,3336.05,3662.40,3589.88,3.338
20180203,바레인 BHD,2882.19,2997.47,2651.62,2911.01,2853.37,2.653
20180203,아랍에미리트 AED,295.81,307.64,275.40,298.76,292.86,0.272
20180203,요르단 JOD,1530.50,1591.72,1408.06,0.00,0.00,1.409
20180203,이집트 EGP,61.58,0.00,0.00,0.00,0.00,0.057
20180203,태국 THB,34.61,36.34,32.54,34.95,34.27,0.032
20180203,싱가포르 SGD,827.05,843.50,810.60,835.32,818.78,0.761
20180203,말레이시아 MYR,279.52,293.49,262.75,0.00,276.73,0.257
20180203,인도네시아 IDR 100,8.10,8.66,7.29,8.18,8.02,0.008
20180203,카타르 QAR,298.41,0.00,0.00,0.00,0.00,0.275
20180203,카자흐스탄 KZT,3.37,3.74,3.00,0.00,0.00,0.003
20180203,브루나이 BND,816.52,849.18,767.53,0.00,0.00,0.752
20180203,인도 INR,16.96,0.00,0.00,0.00,0.00,0.016
20180203,파키스탄 PKR,9.79,10.18,8.62,0.00,0.00,0.009
20180203,방글라데시 BDT,13.05,13.57,11.49,0.00,0.00,0.012
20180203,필리핀 PHP,21.05,22.94,20.21,21.26,20.84,0.019
20180203,멕시코 MXN,58.82,61.17,52.35,59.40,58.24,0.054
20180203,브라질 BRL,339.48,374.10,312.33,0.00,335.41,0.313
20180203,베트남 VND 100,4.78,5.34,4.22,4.82,4.74,0.004
20180203,남아프리카공화국 ZAR,90.62,96.05,83.38,91.70,89.54,0.083
20180203,러시아 RUB,19.30,20.65,17.18,19.49,19.11,0.018
20180203,헝가리 HUF,4.38,4.73,4.03,4.42,4.34,0.004
20180203,폴란드 PLN,326.64,352.77,300.51,330.23,323.05,0.301
20180204,미국 USD,1086.50,1105.51,1067.49,1097.10,1075.90,1.000
20180204,유럽연합 EUR,1357.04,1384.04,1330.04,1370.61,1343.47,1.249
20180204,일본 JPY,988.85,1006.15,971.55,998.54,979.16,0.910
20180204,중국 CNY,172.69,181.32,164.06,174.41,170.97,0.159
20180204,홍콩 HKD,138.93,141.66,136.20,140.31,137.55,0.128
20180204,대만 TWD,37.10,40.43,34.51,0.00,0.00,0.034
20180204,영국 GBP,1544.73,1575.16,1514.30,1560.17,1529.29,1.422
20180204,오만 OMR,2822.00,2991.32,2652.68,0.00,0.00,2.597
20180204,캐나다 CAD,882.04,899.41,864.67,890.86,873.22,0.812
20180204,스위스 CHF,1169.79,1192.83,1146.75,1181.48,1158.10,1.077
20180204,스웨덴 SEK,138.22,141.60,134.84,139.60,136.84,0.127
20180204,호주 AUD,867.84,884.93,850.75,876.51,859.17,0.799
20180204,뉴질랜드 NZD,799.56,815.31,783.81,807.55,791.57,0.736
20180204,체코 CZK,53.84,57.60,49.00,54.43,53.25,0.050
20180204,칠레 CLP,1.82,1.96,1.68,0.00,0.00,0.002
20180204,터키 TRY,289.62,312.78,266.46,292.80,286.44,0.267
20180204,몽골 MNT,0.45,0.53,0.37,0.00,0.00,0.000
20180204,이스라엘 ILS,316.51,329.17,291.19,0.00,0.00,0.291
20180204,덴마크 DKK,182.33,186.79,177.87,184.15,180.51,0.168
20180204,노르웨이 NOK,141.88,145.35,138.41,143.29,140.47,0.131
20180204,사우디아라비아 SAR,289.72,301.30,269.73,292.61,286.83,0.267
20180204,쿠웨이트 KWD,3626.14,3771.18,3336.05,3662.40,3589.88,3.338
20180204,바레인 BHD,2882.19,2997.47,2651.62,2911.01,2853.37,2.653
20180204,아랍에미리트 AED,295.81,307.64,275.40,298.76,292.86,0.272
20180204,요르단 JOD,1530.50,1591.72,1408.06,0.00,0.00,1.409
20180204,이집트 EGP,61.58,0.00,0.00,0.00,0.00,0.057
20180204,태국 THB,34.61,36.34,32.54,34.95,34.27,0.032
20180204,싱가포르 SGD,827.05,843.50,810.60,835.32,818.78,0.761
20180204,말레이시아 MYR,279.52,293.49,262.75,0.00,276.73,0.257
20180204,인도네시아 IDR 100,8.10,8.66,7.29,8.18,8.02,0.008
20180204,카타르 QAR,298.41,0.00,0.00,0.00,0.00,0.275
20180204,카자흐스탄 KZT,3.37,3.74,3.00,0.00,0.00,0.003
20180204,브루나이 BND,816.52,849.18,767.53,0.00,0.00,0.752
20180204,인도 INR,16.96,0.00,0.00,0.00,0.00,0.016
20180204,파키스탄 PKR,9.79,10.18,8.62,0.00,0.00,0.009
20180204,방글라데시 BDT,13.05,13.57,11.49,0.00,0.00,0.012
20180204,필리핀 PHP,21.05,22.94,20.21,21.26,20.84,0.019
20180204,멕시코 MXN,58.82,61.17,52.35,59.40,58.24,0.054
20180204,브라질 BRL,339.48,374.10,312.33,0.00,335.41,0.313
20180204,베트남 VND 100,4.78,5.34,4.22,4.82,4.74,0.004
20180204,남아프리카공화국 ZAR,90.62,96.05,83.38,91.70,89.54,0.083
20180204,러시아 RUB,19.30,20.65,17.18,19.49,19.11,0.018
20180204,헝가리 HUF,4.38,4.73,4.03,4.42,4.34,0.004
20180204,폴란드 PLN,326.64,352.77,300.51,330.23,323.05,0.301
20180205,미국 USD,1089.00,1108.05,1069.95,1099.60,1078.40,1.000
20180205,유럽연합 EUR,1355.86,1382.84,1328.88,1369.41,1342.31,1.245
20180205,일본 JPY,989.42,1006.73,972.11,999.11,979.73,0.909
20180205,중국 CNY,172.47,181.09,163.85,174.19,170.75,0.158
20180205,홍콩 HKD,139.24,141.98,136.50,140.63,137.85,0.128
20180205,대만 TWD,37.09,40.42,34.50,0.00,0.00,0.034
20180205,영국 GBP,1535.98,1566.23,1505.73,1551.33,1520.63,1.410
20180205,오만 OMR,2828.20,2997.89,2658.51,0.00,0.00,2.597
20180205,캐나다 CAD,875.72,892.97,858.47,884.47,866.97,0.804
20180205,스위스 CHF,1169.46,1192.49,1146.43,1181.15,1157.77,1.074
20180205,스웨덴 SEK,137.67,141.04,134.30,139.04,136.30,0.126
20180205,호주 AUD,861.02,877.98,844.06,869.63,852.41,0.791
20180205,뉴질랜드 NZD,793.23,808.85,777.61,801.16,785.30,0.728
20180205,체코 CZK,53.72,57.48,48.89,54.31,53.13,0.049
20180205,칠레 CLP,1.81,1.95,1.67,0.00,0.00,0.002
20180205,터키 TRY,288.60,311.68,265.52,291.77,285.43,0.265
20180205,몽골 MNT,0.45,0.53,0.37,0.00,0.00,0.000
