date,sky,hum,tmorn,tday,teve,tnight,tmin,tmax
2017-06-02,broken clouds,47,19.14,19.14,19.14,17.35,17.35,19.14
2017-06-03,sky is clear,38,18.65,26.48,24.28,17.06,17.06,26.52
2017-06-04,sky is clear,35,21.71,24.99,24.54,15.32,15.32,26.2
2017-06-05,sky is clear,38,22.89,26.34,26.9,16.89,16.89,27.71
2017-06-06,heavy intensity rain,44,20.5,22.06,15.02,13.81,13.78,22.06
2017-06-07,moderate rain,100,17.14,18.2,17.84,13.93,13.93,18.2
2017-06-08,sky is clear,83,19.48,23.07,22.25,13.76,13.76,24.32
2017-06-09,light rain,63,20.86,23.94,21.63,15.1,15.1,23.94
2017-06-10,few clouds,40,19.7,22.68,22.97,11.86,11.86,24.08
2017-06-11,sky is clear,36,22.15,25.47,26.37,15.78,15.78,26.91
2017-06-12,few clouds,44,22,24.47,23.89,16.63,16.63,25.84
2017-06-13,light rain,51,21.43,24.77,23.03,14.39,14.39,24.77
2017-06-14,sky is clear,51,20.87,26.43,26.79,15.73,15.73,27.89
2017-06-15,sky is clear,50,22.17,26.38,27.41,16.29,16.29,28.24
2017-06-16,sky is clear,56,23.7,26.61,27.84,17.97,17.97,28.28
2017-06-17,sky is clear,50,24.02,26.97,27.79,16.56,16.56,28.95
2017-06-18,sky is clear,48,23.87,27.65,29.06,17.16,17.16,29.76
2017-06-19,scattered clouds,49,23.33,27.5,26.82,17.41,17.41,28.4
2017-06-20,light rain,50,25.59,28.41,23.91,18.57,18.57,28.53
2017-06-21,sky is clear,52,25.49,29.49,28.92,19.61,19.61,29.95
2017-06-22,sky is clear,55,24.42,29.83,28.97,18.88,18.88,31.01
2017-06-23,light rain,45,27.01,30.3,26.22,19.22,19.22,31.14
2017-06-24,light rain,53,25.33,29.58,27.86,19.03,19.03,29.58
2017-06-25,moderate rain,49,24.45,27.67,20.09,18.41,18.41,27.67
2017-06-26,moderate rain,63,22.59,25.29,19.84,18.67,18.67,25.29
2017-06-27,moderate rain,79,25.58,27.21,23.67,19.18,19.18,28.16
2017-06-28,moderate rain,76,24.99,27.88,25.28,17.54,17.54,29.26
2017-06-29,light rain,63,25.29,28.52,27.56,20.35,20.35,28.52
2017-06-30,scattered clouds,57,25.15,28.36,28.72,18.55,18.55,29.87
2017-07-01,moderate rain,65,24.29,26.65,21.13,20.64,20.64,26.65
2017-07-02,heavy intensity rain,99,24.75,23.72,24.71,20.54,20.54,24.75
2017-07-03,very heavy rain,99,24.01,24.03,23.38,20.99,20.99,24.45
2017-07-04,light rain,90,26.43,28.63,26.24,20.79,20.79,28.63
2017-07-05,scattered clouds,89,26.99,29.71,29,21.12,21.12,30.13
2017-07-06,moderate rain,71,27.13,29.2,27.08,22.5,22.5,29.2
2017-07-07,heavy intensity rain,96,26.87,26.62,24.48,22.02,22.02,26.87
2017-07-08,very heavy rain,99,24.27,23.84,23.77,22.06,22.06,24.34
2017-07-09,heavy intensity rain,96,26.3,28.02,26.91,21.4,21.4,29.07
2017-07-10,heavy intensity rain,98,24.86,25.3,23.41,22.04,22.04,25.3
2017-07-11,moderate rain,99,25.42,26.49,25.01,20.21,20.21,26.49
2017-07-12,light rain,94,26.42,27.4,26.98,19.56,19.56,27.72
2017-07-13,sky is clear,76,25.68,29,28.87,20.65,20.65,30.06
2017-07-14,light rain,75,29.3,31.7,30.16,23.27,23.27,32.02
2017-07-15,very heavy rain,100,24.88,25.46,24.42,21.61,21.61,25.46
2017-07-16,light rain,94,25.29,26.61,26.19,24.01,24.01,26.8
2017-07-17,light rain,90,27.43,28.89,27.19,24.16,24.16,28.89
2017-07-18,moderate rain,99,25,25.83,25.87,24.35,24.35,26.04
2017-07-19,light rain,80,26.58,31.26,30.31,22.45,22.45,31.8
2017-07-20,few clouds,79,28.55,31.08,29.8,24.65,24.65,31.16
2017-07-21,moderate rain,92,29.42,29.56,29.84,25.16,25.16,29.84
2017-07-22,moderate rain,94,28,29.11,29.51,25.62,25.62,29.88
2017-07-23,heavy intensity rain,100,25.68,26.76,26.68,25.26,25.26,27.32
2017-07-24,moderate rain,93,26.64,27.24,26.51,23.59,23.59,27.24
2017-07-25,sky is clear,86,28,32.22,29.67,23.74,23.74,32.27
2017-07-26,sky is clear,66,28.21,32.79,29.66,21.87,21.87,32.79
2017-07-27,scattered clouds,62,27.02,32.39,30.8,24.74,24.74,32.68
2017-07-28,moderate rain,92,25,27.13,26.04,23.64,23.64,27.13
2017-07-29,moderate rain,98,27.01,27.01,25.89,22.62,22.62,27.05
2017-07-30,light rain,82,27.41,27.45,27.14,21.98,21.98,28.13
2017-07-31,light rain,81,24.4,25,23.9,22.39,22.39,25
2017-08-01,moderate rain,86,25.36,28.48,28.58,23.32,23.32,29.74
2017-08-02,light rain,75,30.21,33.86,30.45,25.15,25.15,33.86
2017-08-03,sky is clear,71,29.43,33.83,32.65,26.02,26.02,34.59
2017-08-04,light rain,56,29.49,36.81,33.53,27.16,27.16,37.36
2017-08-05,moderate rain,55,31.52,38.44,32.2,25.68,25.68,38.44
2017-08-06,moderate rain,72,28.45,31.72,26.06,23.27,23.27,32.77
2017-08-07,moderate rain,87,28.51,31.88,29.24,22.32,22.32,31.88
2017-08-08,light rain,72,27.49,30.89,29.49,23.98,23.98,31.46
2017-08-09,light rain,61,26.97,34.85,27.68,21.43,21.43,34.85
2017-08-10,overcast clouds,95,24.98,26.36,26.36,22.96,22.96,26.36
2017-08-11,light rain,89,27.24,29.9,27.92,21.41,21.41,30.02
2017-08-12,few clouds,67,27.48,34.28,30.6,23.47,23.47,34.28
2017-08-13,light rain,61,26,31.24,28.4,20.71,20.71,31.49
2017-08-14,moderate rain,78,25,24.82,21.43,21.45,21.29,25
2017-08-15,heavy intensity rain,96,22.53,23.39,22.32,21.26,21.26,23.39
2017-08-16,moderate rain,91,24.51,25.41,25.23,21.24,21.24,26.82
