date,loc,no2,o3,co,so2,pm10,pm25
20170602,강남구,0.016,0.032,0.2,0.004,32,9
20170602,강동구,0.016,0.04,0.3,0.003,33,8
20170602,강북구,0.01,0.05,0.3,0.003,23,6
20170602,강서구,0.018,0.047,0.2,0.007,36,9
20170602,관악구,0.015,0.043,0.2,0.003,33,13
20170602,광진구,0.016,0.04,0.3,0.004,23,4
20170602,구로구,0.013,0.038,0.3,0.004,33,12
20170602,금천구,0.02,0.038,0.3,0.003,29,10
20170602,노원구,0.013,0.048,0.3,0.002,26,10
20170602,도봉구,0.012,0.042,0.4,0.003,31,11
20170602,동대문구,0.016,0.039,0.3,0.004,26,8
20170602,동작구,0.016,0.042,0.2,0.002,23,9
20170602,마포구,0.015,0.038,0.3,0.003,28,14
20170602,서대문구,0.025,0.036,0.4,0.004,34,11
20170602,서초구,0.019,0.039,0.3,0.005,29,10
20170602,성동구,0.016,0.04,0.1,0.004,33,11
20170602,성북구,0.015,0.038,0.4,0.003,31,10
20170602,송파구,0.016,0.038,0.3,0.004,33,9
20170602,양천구,0.017,0.032,0.3,0.004,24,12
20170602,영등포구,0.024,0.033,0.4,0.003,36,11
20170602,용산구,0.019,0.035,0.2,0.004,21,11
20170602,은평구,0.018,0.036,0.3,0.005,30,11
20170602,종로구,0.018,0.041,0.3,0.003,24,6
20170602,중구,0.018,0.044,0.2,0.002,23,8
20170602,중랑구,0.014,0.039,0.2,0.005,32,11
20170603,강남구,0.011,0.025,0.2,0.004,22,3
20170603,강동구,0.012,0.032,0.3,0.003,26,6
20170603,강북구,0.006,0.041,0.3,0.003,14,5
20170603,강서구,0.013,0.035,0.3,0.007,29,7
20170603,관악구,0.01,0.034,0.3,0.003,28,11
20170603,광진구,0.012,0.032,0.4,0.003,19,3
20170603,구로구,0.009,0.03,0.4,0.005,26,9
20170603,금천구,0.017,0.027,0.4,0.003,24,8
20170603,노원구,0.008,0.038,0.3,0.003,23,8
20170603,도봉구,0.007,0.036,0.5,0.003,25,9
20170603,동대문구,0.011,0.029,0.3,0.004,20,6
20170603,동작구,0.011,0.033,0.3,0.003,18,7
20170603,마포구,0.01,0.029,0.4,0.004,24,13
20170603,서대문구,0.024,0.026,0.5,0.005,30,9
20170603,서초구,0.013,0.032,0.4,0.005,24,7
20170603,성동구,0.014,0.03,0.2,0.004,28,8
20170603,성북구,0.014,0.028,0.4,0.003,27,9
20170603,송파구,0.012,0.032,0.4,0.004,27,9
20170603,양천구,0.012,0.028,0.4,0.004,20,10
20170603,영등포구,0.018,0.024,0.5,0.003,29,8
20170603,용산구,0.014,0.025,0.2,0.003,18,9
20170603,은평구,0.016,0.027,0.3,0.005,26,9
20170603,종로구,0.012,0.032,0.3,0.003,18,4
20170603,중구,0.013,0.032,0.3,0.003,19,7
20170603,중랑구,0.011,0.03,0.2,0.005,28,8
20170604,강남구,0.025,0.02,0.2,0.004,39,7
20170604,강동구,0.034,0.014,0.5,0.003,37,13
